"watershed","order","seed","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Upper Sacramento River",1,6318,161192,96688,75296,65690,89229,43604,57012,55468,17061,24743,5827,16372,11957,28701,40084,34876,28660,4291
"Antelope Creek",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,6,138
"Battle Creek",3,53957,92929,53447,100604,397149,64764,23861,20520,19493,9904,4286,3047,6632,12513,31554,30834,27064,3642,1236
"Bear Creek",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,19,6,NA,NA,NA,NA,NA,2,32
"Big Chico Creek",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Butte Creek",6,500,NA,NA,4433,3665,3492,2516,4255,1920,1225,275,306,370,416,813,2200,1412,82,626
"Clear Creek",7,4259,8003,6687,10865,16071,9475,6365,14824,8422,4157,7677,3228,7192,4841,7631,13337,15794,8809,2481
"Cottonwood Creek",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1250,510,1055,1137,2144,2556,2774,1940,604,813
"Cow Creek",9,NA,NA,NA,NA,NA,NA,NA,NA,4209,2044,478,261,536,1810,1488,3011,3535,591,822
"Deer Creek",10,270,NA,NA,NA,NA,NA,300,963,1905,563,194,58,166,662,873,1026,849,612,253
"Elder Creek",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mill Creek",12,546,NA,NA,NA,2611,2426,1192,2426,1403,851,218,102,144,1231,890,2197,2488,1033,602
"Paynes Creek",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,72,0,8
"Stony Creek",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thomes Creek",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Upper-mid Sacramento River",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sutter Bypass",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bear River",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feather River",19,NA,NA,106490,165834,97622,83496,50287,45635,70934,20338,5514,4500,41693,43898,59085,140365,56811,19092,35995
"Yuba River",20,28861,22493,13920,21815,22327,26286,14174,16366,7539,2418,3257,4303,13345,8288,7119,13813,10783,6041,3767
"Lower-mid Sacramento River",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yolo Bypass",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"American River",23,50457,55339,100852,135384,124252,163742,99230,62679,24540,10120,2514,5297,14688,25626,38328,58228,26475,15732,14473
"Lower Sacramento River",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calaveras River",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cosumnes River",26,300,229,460,NA,1350,122,1208,370,530,77,15,0,740,53,1071,0,373,204,1248
"Mokelumne River",27,4122,2183,1973,2307,2840,2122,1588,10406,1732,470,173,680,1920,2674,5471,7071,3297,4581,1984
"Merced River",28,3292,3129,11130,9181,8866,2530,3270,1942,1429,485,389,358,651,1571,2011,2826,922,1247,2541
"Stanislaus River",29,3087,4349,8498,7033,7787,5902,4015,1427,1923,443,865,595,1086,1309,4006,2845,3060,6136,9330
"Tuolumne River",30,8910,8232,17873,8782,7173,2163,1984,668,562,224,388,124,540,893,783,1926,438,113,1347
"San Joaquin River",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
