watershed,diversity_group
Upper Sacramento River,2
Antelope Creek,3
Battle Creek,2
Bear Creek,2
Big Chico Creek,3
Butte Creek,3
Clear Creek,1
Cottonwood Creek,1
Cow Creek,2
Deer Creek,3
Elder Creek,1
Mill Creek,3
Paynes Creek,3
Stony Creek,1
Thomes Creek,1
Upper-mid Sacramento River,6
Sutter Bypass,
Bear River,5
Feather River,5
Yuba River,5
Lower-mid Sacramento River,6
Yolo Bypass,
American River,5
Lower Sacramento River,6
Calaveras River,4
Cosumnes River,5
Mokelumne River,5
Merced River,4
Stanislaus River,4
Tuolumne River,4
San Joaquin River,6
