low_dens,med_dens,hi_dens,max_dens,original_rank
100506.85,103632.4,50557.2,81147.25,89655.55
94981.55,95891.5,48522.25,76700.4,87771.85
83007.35,84026.35,45083.85,73927.95,86170.45
83007.35,84026.35,45083.85,73927.95,85571.85
80299.4,80580.3,44336.9,73663,85571.85
75266.1,75682.15,43025.2,73246.75,85127
73917.85,68628.8,41112.95,72156.85,84921.1
69973.35,68626.85,40993.05,71462.45,82825.75
69972.2,66550.8,40986.75,70116.65,82803.35
63612.75,60570.55,39238.5,69186.95,82725.9
60280.35,59498.75,39207.7,69155.4,82598.85
58114.35,55769.45,38435.55,67369.7,82516.95
53165.6,49104.2,36928.1,66935.95,81975.15
47113.2,44910.55,35049.85,65623.3,81616.55
