watershed,order,is_regulated,dynam,group,diversity_group,spawn_decay,rear_decay,hatchery,adult_seed,prop_hatch,spawning_habitat_is_decayed
Upper Sacramento River,1,1,D,1,2,0.973647181,0.987175243,0,22012,0.37,TRUE
Antelope Creek,2,0,I,2,3,0.994949237,0.997487405,0,72,0.2,FALSE
Battle Creek,3,1,I,2,2,0.994949237,0.997487405,1,12626,0.9,FALSE
Bear Creek,4,0,ST,3,2,0.994949237,0.997487405,0,12,0.37968254,FALSE
Big Chico Creek,5,0,ST,3,3,0.994949237,0.997487405,0,12,0.2,FALSE
Butte Creek,6,0,I,2,3,0.994949237,0.997487405,0,885,0.115,FALSE
Clear Creek,7,1,D,1,1,0.973647181,0.987175243,0,8555,0.2225,TRUE
Cottonwood Creek,8,0,D,1,1,0.973647181,0.987175243,0,1251,0.3525,FALSE
Cow Creek,9,0,D,1,2,0.973647181,0.987175243,0,1649,0.2,FALSE
Deer Creek,10,0,I,2,3,0.994949237,0.997487405,0,569,0.16,FALSE
Elder Creek,11,0,ST,3,1,0.994949237,0.997487405,0,12,0.37968254,FALSE
Mill Creek,12,0,I,2,3,0.994949237,0.997487405,0,1332,0.1525,FALSE
Paynes Creek,13,0,ST,3,3,0.994949237,0.997487405,0,51,0.365,FALSE
Stony Creek,14,1,ST,3,1,0.994949237,0.997487405,0,12,0.37968254,TRUE
Thomes Creek,15,0,I,2,1,0.994949237,0.997487405,0,12,0.37968254,FALSE
Upper-mid Sacramento River,16,1,NA,7,6,0.989793782,0.994949237,0,0,0.37968254,FALSE
Sutter Bypass,17,0,NA,8,NA,0.989793782,0.994949237,0,0,0.37968254,FALSE
Bear River,18,0,ST,4,3,0.979148362,0.989793782,0,12,0,FALSE
Feather River,19,1,ST,4,3,0.979148362,0.989793782,1,52408,0.855,TRUE
Yuba River,20,1,ST,4,3,0.979148362,0.989793782,0,7184,0.54,TRUE
Lower-mid Sacramento River,21,1,NA,7,6,0.989793782,0.994949237,0,0,0.37968254,FALSE
Yolo Bypass,22,0,NA,8,NA,0.989793782,0.994949237,0,0,0.37968254,FALSE
American River,23,1,ST,4,3,0.979148362,0.989793782,1,24959,0.571666667,TRUE
Lower Sacramento River,24,1,NA,7,6,0.989793782,0.994949237,0,0,0.37968254,FALSE
Calaveras River,25,1,ST,5,4,0.962256359,0.981853233,0,12,0.076666667,TRUE
Cosumnes River,26,0,ST,5,3,0.962256359,0.981853233,0,499,0.02,FALSE
Mokelumne River,27,1,ST,5,3,0.962256359,0.981853233,1,4514,0.7575,TRUE
Merced River,28,1,I,6,4,0.989793782,0.994949237,1,2145,0.745,TRUE
Stanislaus River,29,1,I,6,4,0.989793782,0.994949237,0,5405,0.705,TRUE
Tuolumne River,30,1,I,6,4,0.989793782,0.994949237,0,984,0.465,TRUE
San Joaquin River,31,1,NA,7,6,0.989793782,0.994949237,0,0,0.37968254,FALSE
