Release.type,Brood.yr,run,Age.recov,no tagged,prop.stray
FRHS,2010,Spr,2,1170340,0
FRHSn,2010,Spr,2,1136690,0
CFHFh,2010,Fall,2,2835420,0.02
CFHFn,2010,Fall,2,334756,0.82
FRHFn,2010,Fall,2,2554115,0.03
FRHFnc,2010,Fall,2,185985,0
FRHFtib,2010,Fall,2,56030,0.14
NIMF,2010,Fall,2,1014340,0.03
NIMFn,2010,Fall,2,368363,0.06
MOKF,2010,Fall,2,100215,0.05
MOKFn,2010,Fall,2,1126781,0.35
MOKFt,2010,Fall,2,473268,0.39
MERF,2010,Fall,2,73631,0
MERFt,2010,Fall,2,56011,0.03
SacW,2010,Wint,2,113905,0
CFHLh,2011,Late,2,1037859,0
FRHS,2009,Spr,3,1026954,0
FRHSn,2009,Spr,3,1058635,0.11
CFHFh,2009,Fall,3,2541142,0.01
CFHFn,2009,Fall,3,337919,0.74
FRHFn,2009,Fall,3,2367209,0.13
FRHFnc,2009,Fall,3,118879,0.22
FRHFtib,2009,Fall,3,60104,0.17
NIMF,2009,Fall,3,1000559,0.01
NIMFn,2009,Fall,3,347527,0.06
MOKF,2009,Fall,3,99048,0.03
MOKFn,2009,Fall,3,2015730,0.53
MERFt,2009,Fall,3,154685,0.79
SacWb,2009,Wint,3,183644,0
CFHLh,2010,Late,3,992047,0
FRHS,2008,Spr,4,1015717,0
FRHSn,2008,Spr,4,1005727,0
CFHFh,2008,Fall,4,3128374,0
CFHFn,2008,Fall,4,371726,0.76
FRHFn,2008,Fall,4,2061211,0.07
FRHFe,2008,Fall,4,481853,0.01
FRHFtib,2008,Fall,4,89859,0
NIMF,2008,Fall,4,264006,0.5
NIMFn,2008,Fall,4,976955,0.01
MOKFt,2008,Fall,4,250300,0.41
MERFt,2008,Fall,4,32978,0
SacW,2008,Wint,4,100786,0
CFHLh,2009,Fall,4,1115779,0
