Release.type,Brood.yr,source,River,run,CWT.code,tot.rel,no.woth.CTW,pct.w.CWT,Rel.strategy,Bay,Delta,Wild,Rel.loc,,,,
FRHS,2010,FRH,Fea R,Spr,2,1181710,1170340,99%,Basin,0,0,0,Feather River (Boyds Pump,,,,
FRHSn,2010,FRH,Fea R,Spr,2,1157167,1136690,98%,Bay pens,1,0,0,Mare Island net pens,,,,
CFHFh,2010,CNFH,Sac R,Fall,25,11369732,2835420,25%,Basin,0,0,0,CNFH,,,,
CFHFn,2010,CNFH,Sac R,Fall,3,1339659,334756,25%,Bay pens,1,0,0,Mare Island net pens,,,,
FRHFn,2010,FRH,Fea R,Fall,9,10308722,2554115,25%,Bay pens,1,0,0,San Pablo Bay net pens; Wickland Oil net pens,,,,
FRHFnc,2010,FRH,Fea R,Fall,2,187022,185985,99%,Coastal pens,1,0,0,Santa Cruz net pens; MBSTE project; held approx 1 week,,,,
FRHFtib,2010,FRH,Fea R,Fall,2,56398,56030,99%,Tibur. pens,0,0,0,"Tiburon net pens, released as fingerlings (May) & yearlings (Oct)",,,,
FeaFw,2010,wild,Fea R,Fall,38,194798,188791,97%,Basin,0,0,0,Thermalito Bypass,,,,
NIMF,2010,NIM,Ame R,Fall,3,3259868,1014340,31%,Basin,0,0,0,American River (at Sunrise Launch Ramp & Discovery Park),,,,
NIMFn,2010,NIM,Ame R,Fall,3,1595731,368363,23%,Bay pens,1,0,0,Wickland Oil net pens,,,,
MOKF,2010,MOK,Mok R,Fall,1,100467,100215,100%,Basin,0,0,0,Mokelumne Hatchery (yearlings),,,,
MOKFn,2010,MOK,Mok R,Fall,12,4548348,1126781,25%,Bay pens,1,0,0,Sherman Island net pens (includes experimental Nimbus spawners),,,,
MOKFt,2010,MOK,Mok R,Fall,5,1898828,473268,25%,Trucked,0,1,0,Sherman Island (approx. 25% released into net pens),,,,
MERF,2010,MER,Mer R,Fall,3,76971,73631,96%,Basin,0,0,0,Merced River Hatchery,,,,
MERFt,2010,MER,Mer R,Fall,3,58166,56011,96%,Trucked,0,1,0,"Merced River (Hatfield State Area), San Joaquin River (Mossdale)",,,,
SacW,2010,LSH,Sac R,Wint,14,123859,113905,92%,Basin,0,0,0,Sacramento River (Lake Redding,Park),,,
CFHLh,2011,CNFH,Sac R,Late,14,1053282,1037859,99%,Basin,0,0,0,CNFH (includes spring surrogate releases),,,,
FRHS,2009,FRH,Fea R,Spr,1,1040645,1026954,99%,Basin,0,0,0,Feather River (Boyds Pump Ramp),,,,
FRHSn,2009,FRH,Fea R,Spr,6,1085409,1058635,98%,Bay pens,1,0,0,San Pablo Bay net pens,,,,
CFHFh,2009,CNFH,Sac R,Fall,25,10210921,2541142,25%,Basin,0,0,0,CNFH,,,,
CFHFn,2009,CNFH,Sac R,Fall,3,1360164,337919,25%,Bay pens,1,0,0,Mare Island net pens,,,,
FRHFn,2009,FRH,Fea R,Fall,11,9536050,2367209,25%,Bay pens,1,0,0,San Pablo Bay net pens; Wickland Oil net pens,,,,
FRHFnc,2009,FRH,Fea R,Fall,1,122334,118879,97%,Coastal pens,0,0,0,Santa Cruz net pens; MBSTE project; held approx 1 week,,,,
FRHFtib,2009,FRH,Fea R,Fall,2,60739,60104,99%,Tibur. pens,0,0,0,"Tiburon net pens, released as fingerlings (May) & yearlings (Oct)",,,,
FeaFw,2009,wild,Fea R,Fall,18,178063,177657,100%,Basin,0,0,0,Thermalito Bypass,,,,
NIMF,2009,NIM,Ame R,Fall,3,3221137,1000559,31%,Basin,0,0,0,American River (at Sunrise Launch Ramp & Discovery Park),,,,
NIMFn,2009,NIM,Ame R,Fall,2,1391632,347527,25%,Bay pens,1,0,0,Mare Island net pens,,,,
MOKF,2009,MOK,Mok R,Fall,1,99157,99048,100%,Basin,0,0,0,Mokelumne Hatchery (yearlings),,,,
MOKFn,2009,MOK,Mok R,Fall,13,2023958,2015730,100%,Bay pens,1,0,0,Sherman Island net pens,,,,
MERFt,2009,MER,Mer R,Fall,6,165213,154685,94%,Trucked,0,1,0,San Joaquin River (Jersey Pt),,,,
SacW,2009,LSH,Sac R,Wint,19,198582,183644,92%,Basin,0,0,0,Sacramento River (Lake Redding Park),,,,
CFHLh,2010,CNFH,Sac R,Late,13,1018422,992047,97%,Basin,0,0,0,CNFH (includes spring surrogate releases),,,,
FRHS,2008,FRH,Fea R,Spr,5,1016835,1015717,100%,Basin,0,0,0,Feather River (Boyds Pump Ramp),,,,
FRHSn,2008,FRH,Fea R,Spr,5,1007177,1005727,100%,Bay pens,1,0,0,San Pablo Bay net pens,,,,
CFHFh,2008,CNFH,Sac R,Fall,27,12529458,3128374,25%,Basin,0,0,0,CNFH,,,,
CFHFn,2008,CNFH,Sac R,Fall,3,1491668,371726,25%,Bay pens,1,0,0,"Mare Island net pens, San Pablo Bay net pens",,,,
FRHFn,2008,FRH,Fea R,Fall,11,7761167,2061211,27%,Bay pens,1,0,0,"Mare Island net pens, San Pablo Bay net pens,",,,,
FRHFe,2008,FRH,Fea R,Hybrid,30,498341,481853,97%,CV,0,0,0,"exper Spr x Fall hybrid releases: Benicia,",Discovery,"Pk,",Elkhorn,Boat
FRHFtib,2008,FRH,Fea R,Fall,2,91801,89859,98%,Tibur. pens,0,0,0,"Held 3-4 mos Tiburon net pens, released as yearlings",,,,
FeaFw,2008,wild,Fea R,Fall,37,292423,289830,99%,Basin,0,0,1,"Thermalito Bypass, Feather",River,,,
NIMF,2008,NIM,Ame R,Fall,1,270000,264006,98%,Basin,0,0,0,American River (Sunrise Launch Ramp),,,,
NIMFn,2008,NIM,Ame R,Fall,4,3924887,976955,25%,Bay pens,1,0,0,Mare Island net pens,,,,
MOKFt,2008,MOK,Mok R,Fall,4,250969,250300,100%,Trucked,0,1,0,Sherman Island,,,,
MokFw,2008,wild,Mok R,Fall,5,21860,20680,95%,Basin,0,0,1,"Mokelumne River (Woodbridge, Mok R Vino farms)",,,,
MERFt,2008,MER,Mer R,Fall,2,34532,32978,95%,Trucked,0,1,0,San Joaquin River (Jersey Pt),,,,
SacW,2008,LSH,Sac R,Wint,10,109785,100786,92%,Basin,0,0,0,Sacramento River (Lake Redding Park),,,,
CFHLh,2009,CNFH,Sac R,Late,16,1154761,1115779,97%,Basin,0,0,0,CNFH (includes spring surrogate releases),,,,
